PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
3,21.6480658013934,-29.716329478841086,73.91899176543487,Soil_carbon_service,continental
5,22.294935947225504,-14.786327459174391,57.34472218083488,Soil_carbon_service,continental
6,49.47106550690756,28.185012884268154,66.98227820334776,Soil_carbon_service,continental
7,28.794262085117076,-9.197407741207364,67.17023023427396,Soil_carbon_service,continental
8,32.7378140838742,13.240418816749107,51.372335045084256,Soil_carbon_service,continental
9,25.970876970114602,-1.6970400023400405,52.720521449882,Soil_carbon_service,continental
Unprotected,37.90093066048246,19.206450004524783,50.30612943919051,Soil_carbon_service,continental
3,-0.40399533500074114,-2.313377728280331,1.081319597949855,OM_decomposition_service,continental
5,-0.35520157245392125,-1.7209277509595666,1.0891896833935133,OM_decomposition_service,continental
6,-0.22285880773151928,-1.727221783429853,0.9982133212147262,OM_decomposition_service,continental
7,-0.7023481290879463,-2.5890426959783936,0.678021443707937,OM_decomposition_service,continental
8,-0.32964861536780754,-1.9079950010665225,0.8913949728129713,OM_decomposition_service,continental
9,-0.5228964347173235,-1.9875079146555117,0.8618493617180116,OM_decomposition_service,continental
Unprotected,-0.26403113783018306,-1.813221960739352,0.9426214203974297,OM_decomposition_service,continental
3,-0.625816922818067,-2.506906721387483,1.3420184610141745,Soil_stability_service,continental
5,0.3433628014388119,-1.620662742329713,2.060235031907327,Soil_stability_service,continental
6,0.1791727346436472,-1.5830107048281574,1.9624702301480719,Soil_stability_service,continental
7,0.3803158301497498,-1.5043189936893668,2.18956616967321,Soil_stability_service,continental
8,0.11976835832356307,-1.58655071048477,1.9846016976761418,Soil_stability_service,continental
9,-0.2966469014198285,-2.113686709226905,1.5067804471267636,Soil_stability_service,continental
Unprotected,0.06616346223073692,-1.6593843365676655,1.8552368536935955,Soil_stability_service,continental
3,-0.07486273631864322,-1.6726185608407116,1.5335389658010958,Nutrient_service,continental
5,-0.2900161640317549,-1.8461026511834242,1.22163485281824,Nutrient_service,continental
6,0.07259453614576855,-1.4141107977773595,1.557431222129963,Nutrient_service,continental
7,0.13664132020361675,-1.4826460009242286,1.596509017334111,Nutrient_service,continental
8,-0.12306410008842578,-1.6393535364166545,1.3289501249462816,Nutrient_service,continental
9,0.060413548085557614,-1.3601855581287916,1.6348205267928246,Nutrient_service,continental
Unprotected,-0.07275879916939454,-1.5317397653870142,1.4285362305797233,Nutrient_service,continental
3,0.915095210425833,-0.45965124387582157,2.1727774885862887,Pathogen_control,continental
5,0.9468105216525957,-0.4141616415427179,2.2078385125679474,Pathogen_control,continental
6,0.9460785233236284,-0.4017442037989066,2.214441989878393,Pathogen_control,continental
7,0.9663840585070536,-0.36829106221076024,2.2686875527694084,Pathogen_control,continental
8,0.936369208810466,-0.4101289266394842,2.209118449352286,Pathogen_control,continental
9,0.9481079677710786,-0.3930588138598985,2.2225653133982766,Pathogen_control,continental
Unprotected,0.9417233752734404,-0.413764839826203,2.203003037475802,Pathogen_control,continental
3,2897.5434116654833,2497.0315021821325,3427.4216464062515,Bac_richness,continental
5,2440.1661097693377,2078.4001582384913,2911.408186785394,Bac_richness,continental
6,2500.1596306706497,2231.8940602420007,2838.4255767203294,Bac_richness,continental
7,2713.627413296987,2365.7227560688616,3070.76465778187,Bac_richness,continental
8,2473.52180573286,2224.643500063266,2816.6910618886604,Bac_richness,continental
9,2459.8392698262933,2167.436974929893,2839.453380136356,Bac_richness,continental
Unprotected,2469.4151356870157,2252.122736704398,2810.938710256456,Bac_richness,continental
3,189.386169521063,42.257662570253125,339.45561658562264,Fungi_richness,continental
5,288.4016681112071,166.72447391041084,392.33918351043377,Fungi_richness,continental
6,223.61486162402304,133.4479721570766,314.361705382017,Fungi_richness,continental
7,295.43029894831955,180.87721536921575,410.0924409026785,Fungi_richness,continental
8,242.71592463235163,143.9854211320768,325.05480984383934,Fungi_richness,continental
9,219.17728253273896,118.64082713214657,317.7384447803797,Fungi_richness,continental
Unprotected,234.56372848459813,145.3549864738485,320.84159888334744,Fungi_richness,continental
3,20.740826812701343,-21.399594074076163,69.75052014673159,Invertebrate_richness,continental
5,42.305069228897835,10.705771181408558,73.52755168626821,Invertebrate_richness,continental
6,50.13408305655463,30.67998844565451,67.23400391818109,Invertebrate_richness,continental
7,26.81796585976544,-9.155879746494396,59.71076402539742,Invertebrate_richness,continental
8,37.84843039334564,17.273965810772815,54.17323936183004,Invertebrate_richness,continental
9,33.728293086993105,9.757621969014414,59.07852719055502,Invertebrate_richness,continental
Unprotected,41.26777082918176,23.535745780426577,54.274984851910645,Invertebrate_richness,continental
3,216.33764266888093,77.64761967887402,358.6358540869573,Protist_richness,continental
5,202.3709517813951,94.6071308110538,314.2179393723287,Protist_richness,continental
6,199.1843951269605,111.68760160078523,282.1907706527649,Protist_richness,continental
7,160.08293390723819,46.083218117358825,276.11781071008113,Protist_richness,continental
8,210.42810742738112,119.83334875165843,293.10657939353314,Protist_richness,continental
9,243.1813762666359,148.23781676576718,339.7672285995418,Protist_richness,continental
Unprotected,202.79687993373142,122.8452769412259,287.5371574697739,Protist_richness,continental
3,10.760482664136468,-3.659369033919887,24.33014873036293,Nematode_richness,continental
5,21.70367686460481,10.402910400986144,35.10171137270537,Nematode_richness,continental
6,18.573219223620285,10.70640287279403,28.89364143306392,Nematode_richness,continental
7,17.65517370733499,6.038686977921914,31.31179587713359,Nematode_richness,continental
8,19.393841938755255,11.46739847604392,30.05909900118038,Nematode_richness,continental
9,20.238615477803002,10.236422434385807,31.020397287762208,Nematode_richness,continental
Unprotected,18.55208040368027,11.435317093000641,28.62382858938592,Nematode_richness,continental
3,7.003143828313213,5.419507946344405,8.750650357980184,Bac_shannonDiv,continental
5,6.618991074970122,5.074381526748052,8.385973457993586,Bac_shannonDiv,continental
6,6.599399291701218,5.113597321459309,8.369046063752448,Bac_shannonDiv,continental
7,6.874805395630258,5.295624184189657,8.618896695757334,Bac_shannonDiv,continental
8,6.627386628162764,5.137999506986981,8.390564923154756,Bac_shannonDiv,continental
9,6.632455117594836,5.007628022156332,8.304139109388673,Bac_shannonDiv,continental
Unprotected,6.6046658846978366,5.145936987787494,8.412281017051093,Bac_shannonDiv,continental
3,3.185803786393336,1.3828550524314853,4.799167132702973,Fungi_shannonDiv,continental
5,4.072072706172721,2.4666590365789176,5.758653556030137,Fungi_shannonDiv,continental
6,3.687202959599283,2.0087201325460278,5.201825347574713,Fungi_shannonDiv,continental
7,3.636967454301816,1.942972216055968,5.258860510872356,Fungi_shannonDiv,continental
8,3.8296513678517647,2.164955231757548,5.3495868175021,Fungi_shannonDiv,continental
9,3.694075732153764,2.0922570878066713,5.339784118207715,Fungi_shannonDiv,continental
Unprotected,3.824970354269298,2.1107090820994028,5.289118026193567,Fungi_shannonDiv,continental
3,1.9471663843285365,0.035695422666255916,3.768911307165057,Invertebrate_shannonDiv,continental
5,2.799781901578096,1.1906135391182,4.48507330143451,Invertebrate_shannonDiv,continental
6,2.4252427090300945,0.7971162703352613,3.9676583739699347,Invertebrate_shannonDiv,continental
7,2.3899021034180086,0.7062220442404111,4.127033345246631,Invertebrate_shannonDiv,continental
8,2.3885386959048773,0.8473770482650996,4.1017714739171645,Invertebrate_shannonDiv,continental
9,2.5705452838876903,0.9312403152994121,4.2516045897284025,Invertebrate_shannonDiv,continental
Unprotected,2.3616171647568267,0.7897100023391457,4.001478586915649,Invertebrate_shannonDiv,continental
3,4.656964267167089,2.8701020872581626,6.5276260247827125,Protist_shannonDiv,continental
5,4.436262903169355,2.69349126271343,6.236242948766126,Protist_shannonDiv,continental
6,4.571389158161562,2.902439387231526,6.3459688569305275,Protist_shannonDiv,continental
7,4.3017916264077725,2.6291186557585338,6.16288130184647,Protist_shannonDiv,continental
8,4.4663317328651395,2.7934654160973547,6.23614410432983,Protist_shannonDiv,continental
9,4.5387419206428055,2.7214161295997177,6.249530539347884,Protist_shannonDiv,continental
Unprotected,4.4835596322471485,2.7744466858425465,6.189998092052751,Protist_shannonDiv,continental
3,9.20177663877024,-9.943591699129612,27.402823298983122,Ectomycorrhizal_richness,continental
5,3.135475097202022,-9.125727858782978,15.85837760994082,Ectomycorrhizal_richness,continental
6,3.7633950564793945,-2.9080427006533864,10.143984310222526,Ectomycorrhizal_richness,continental
7,13.182566083646932,0.041305015164713466,26.628007432002477,Ectomycorrhizal_richness,continental
8,9.356891929020623,2.4477262840153102,14.81592178524085,Ectomycorrhizal_richness,continental
9,1.0842073615894683,-8.573261134009845,10.549529837548832,Ectomycorrhizal_richness,continental
Unprotected,7.003145735945051,0.7990367682513988,9.978665411728365,Ectomycorrhizal_richness,continental
3,2.512211006372876,-5.237604284001312,9.905962347934645,Arbuscularmycorrhizal_richness,continental
5,6.502105805418137,0.6604063287774515,11.455307852135277,Arbuscularmycorrhizal_richness,continental
6,5.4926655514285505,0.791659520827489,8.922248646457675,Arbuscularmycorrhizal_richness,continental
7,6.757665760742363,1.0520929220048443,12.724373760297262,Arbuscularmycorrhizal_richness,continental
8,3.9406255840678455,-0.7816234067822693,7.469863085796744,Arbuscularmycorrhizal_richness,continental
9,5.104193982831104,0.017583203870103148,9.396422000562698,Arbuscularmycorrhizal_richness,continental
Unprotected,4.967742401390344,0.004960072547990024,7.892485778817761,Arbuscularmycorrhizal_richness,continental
3,10.457125729113024,-23.36536798097988,41.66510145760704,Decomposer_richness,continental
5,25.805690326297327,2.623861687751826,48.5366472516275,Decomposer_richness,continental
6,23.1630452971103,7.191672415654356,34.96463979851454,Decomposer_richness,continental
7,28.54092384056086,3.081661381018771,53.16486488779907,Decomposer_richness,continental
8,20.979878320177903,6.302488402521745,33.229760997842774,Decomposer_richness,continental
9,18.30089215072895,1.985156139189961,34.58254755839195,Decomposer_richness,continental
Unprotected,23.036231398488045,7.477704284307437,30.992672976541115,Decomposer_richness,continental
3,0.8268443331953839,-0.6061363532928601,2.1876223005202666,Bac_JaccDist_av,continental
5,0.8562403733334228,-0.5813756817534839,2.2135944532472402,Bac_JaccDist_av,continental
6,0.8465396793314572,-0.5852633213214715,2.207790563402057,Bac_JaccDist_av,continental
7,0.8368589361151442,-0.49264331271276685,2.299241261638226,Bac_JaccDist_av,continental
8,0.8486317912335877,-0.5857116368497911,2.2070240346444607,Bac_JaccDist_av,continental
9,0.8531254370689914,-0.5824031706120169,2.2104321035899575,Bac_JaccDist_av,continental
Unprotected,0.8508776412017129,-0.5862341491194503,2.2069963813113525,Bac_JaccDist_av,continental
3,0.8888024453632842,-1.3363026556787885,2.0176953329867535,Fungi_JaccDist_av,continental
5,0.88884747601394265,-1.321065359832234,2.023056640796654,Fungi_JaccDist_av,continental
6,0.8878546479327212,-1.3218365489877295,2.0234832783530505,Fungi_JaccDist_av,continental
7,0.8918167604115561,-1.318455811490221,2.027386868765604,Fungi_JaccDist_av,continental
8,0.8878680343212028,-1.326794072797946,2.0192018657489688,Fungi_JaccDist_av,continental
9,0.8832258364926173,-1.332527897947348,2.012936310665604,Fungi_JaccDist_av,continental
Unprotected,0.8894367639922225,-1.321002326205509,2.024730949273503,Fungi_JaccDist_av,continental
3,1.028282661085975,0.18707284119172116,2.7815686897765177,Protist_JaccDist_av,continental
5,1.027494507251418,0.1809525840790291,2.7789453019108343,Protist_JaccDist_av,continental
6,1.030707365375187,0.19052827050464677,2.7890580017412767,Protist_JaccDist_av,continental
7,1.032316448728011,0.18828929980806824,2.785433831642308,Protist_JaccDist_av,continental
8,1.0295572058079996,0.18797047886559465,2.7859965340906943,Protist_JaccDist_av,continental
9,1.027799077652022,0.19128126236922352,2.788930104803837,Protist_JaccDist_av,continental
Unprotected,1.029931506946037,0.18821555578243293,2.7860564230099696,Protist_JaccDist_av,continental
3,0.9411666792107574,-0.29209784922571325,1.8928976498968821,Invertebrate_JaccDist_av,continental
5,0.9395504157155039,-0.29200167076278755,1.8933485964130623,Invertebrate_JaccDist_av,continental
6,0.9376787923255941,-0.2946402248601121,1.89008886250777,Invertebrate_JaccDist_av,continental
7,0.9373929174521519,-0.29623805641893974,1.8916880832147414,Invertebrate_JaccDist_av,continental
8,0.9392789394541539,-0.29353186723933006,1.8922754486030766,Invertebrate_JaccDist_av,continental
9,0.9343173893123874,-0.3001259669109078,1.8867293179163198,Invertebrate_JaccDist_av,continental
Unprotected,0.9388595497247803,-0.2931836420947137,1.892883901044271,Invertebrate_JaccDist_av,continental
