"lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"Cropland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.430391391221699,0.17492795487553,0.419088979675824,0.156302718954999,0.268762779878066,0.604021304321196,0.813000211563876
"Cropland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.325100391375701,0.181578996234854,-0.327279695125938,-0.624325773851584,-0.490907611946761,-0.153165783931099,0.0245629217184825
"Cropland","Bac_richness","Bacterial Richness","Richness","Bacteria",0.403529386515168,0.195034533768287,0.400729550368694,0.0777863572315593,0.22451894722898,0.590557573669282,0.798971853279204
"Cropland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",0.417992391431912,0.209320240623641,0.417924849962805,0.0669144047770099,0.216177884177671,0.614271626283443,0.837719310573487
"Cropland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.632719393180236,0.15507507446327,0.636192677526235,0.388848764307568,0.46400443622684,0.792415781337216,0.908621390227565
"Cropland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",0.152470346194257,0.255455235234462,0.119145220618431,-0.191778252424949,-0.112341632734147,0.432838057481204,0.622297535167862
"Cropland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-0.129332437345997,0.205375050344568,-0.136704657920166,-0.460073574979863,-0.332483733042384,0.0727721639963889,0.26670956609069
"Cropland","Fungi_richness","Fungal Richness","Richness","Fungi",0.159701668484248,0.212416106079998,0.16405613356789,-0.19482411921293,-0.0327033008921692,0.357836082069971,0.556604061982063
"Cropland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.410009438212394,0.203274802404614,-0.406802598936046,-0.763346249396748,-0.5975375805441,-0.217619192987646,-0.0164847851101234
"Cropland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",0.348630663089422,0.254665310654596,0.332559550031041,-0.0366457926728555,0.109254695105634,0.586367391050399,0.883670381794076
"Cropland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",-0.180487506545256,0.16858164608249,-0.186930272303619,-0.458231051612038,-0.341634698822617,-0.0213580632796425,0.144705779363109
"Cropland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.404153874686978,0.229739059458961,-0.396643984826761,-0.80078973688143,-0.615144050749823,-0.198283439836127,0.0222994594415635
"Cropland","Nematode_richness","Nematode Richness","Richness","Nematodes",-0.277978700789617,0.219426357373876,-0.270899126639062,-0.636984541317194,-0.497382316646021,-0.0727767395278281,0.159135593516168
"Cropland","Nutrient_service","Nutrient cycling","Function","Function",0.0714391271317562,0.172300917401158,0.0660820269870402,-0.20000537901717,-0.0897851683988445,0.24199378791663,0.410861337701726
"Cropland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.542547945321646,0.248551488463185,-0.530869363287618,-0.954335001130281,-0.795805981921004,-0.313866430443734,-0.0723169190813839
"Cropland","Pathogen_control","Pathogen control","Function","Function",0.453495820592201,0.204792605923363,0.467589846151644,0.0980948853453107,0.276805556104054,0.634189116667599,0.846552410939935
"Cropland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.239454628548767,0.207631017786878,0.236903777669153,-0.0856462663564087,0.0430368753959455,0.435917722438834,0.65251141475237
"Cropland","Protist_richness","Protist Richness","Richness","Protists",-0.254335600939783,0.216075297983972,-0.243135049100317,-0.613206868063566,-0.462380805217827,-0.0547892857149072,0.135513345349473
"Cropland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",-0.285684665680215,0.260481770405647,-0.266603854237013,-0.741990491387087,-0.540344252076405,-0.0468249423393477,0.191069812328174
"Cropland","Soil_carbon_service","Soil carbon","Function","Function",-0.328483892854391,0.219925306259634,-0.342999459968655,-0.650421022256425,-0.53013394685635,-0.126210329456337,0.188775262439954
"Cropland","Soil_stability_service","Soil stability","Function","Function",0.214184225074567,0.205236240701821,0.220189624438501,-0.128318267501227,0.0255324797607579,0.409026994861588,0.611747133530935
"Grassland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.44229731980362,0.257854971332748,0.439460425585249,-0.000428274361634494,0.197004597544165,0.693187296833334,0.948905441601516
"Grassland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.193435368820216,0.239982293245133,-0.179560554718957,-0.619204738624951,-0.40560722941079,0.0343983500476399,0.251324876595074
"Grassland","Bac_richness","Bacterial Richness","Richness","Bacteria",-0.0477134955454052,0.238714832564825,-0.0594840828743703,-0.404943163759309,-0.280168982671083,0.17469550002591,0.441003102236626
"Grassland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-0.375573274032752,0.2750812507503,-0.367738848576153,-0.827974442485269,-0.66281394973234,-0.102041684336885,0.144833044018637
"Grassland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.489019333114905,0.169186357112849,0.505485443822333,0.200587092620793,0.342705607253762,0.643124559510441,0.782848739249604
"Grassland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",-0.0235922867954936,0.320728774664531,-0.104863166597974,-0.411844927269722,-0.342324952645948,0.377710627643911,0.58017247069787
"Grassland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",0.550905218519017,0.23132619579888,0.532282502082398,0.196577602275874,0.334113693989827,0.769194000438696,1.03654464392805
"Grassland","Fungi_richness","Fungal Richness","Richness","Fungi",0.158669515169798,0.234999599491867,0.154526222278736,-0.229165720613724,-0.0562044383460791,0.385442577366964,0.601770851203775
"Grassland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",0.00543896759364892,0.239801253585549,0.0166495268190088,-0.403086542244648,-0.222792568282836,0.21968532421272,0.477726228044991
"Grassland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",-0.354105729623516,0.249919675371796,-0.363967724434737,-0.734149934042161,-0.586811373405594,-0.121877473712042,0.151213645356016
"Grassland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",0.100822442800676,0.335814103713437,0.0282735033043076,-0.333856353346495,-0.203409727832335,0.454934064059269,0.859039678485135
"Grassland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.0946105874302936,0.251845088076599,-0.091538398658697,-0.504090952240421,-0.344527105844213,0.14363659889676,0.423349795536583
"Grassland","Nematode_richness","Nematode Richness","Richness","Nematodes",0.020672219805013,0.227054961504845,0.0169245624380524,-0.336518249572562,-0.199923731885687,0.237568019777877,0.466683662964701
"Grassland","Nutrient_service","Nutrient cycling","Function","Function",0.200424054181062,0.239013999953732,0.201386187467479,-0.188546239712013,-0.0213297217167537,0.433974154972603,0.680576649484118
"Grassland","OM_decomposition_service","Decomposition (OM)","Function","Function",0.368643946274598,0.311241537490237,0.347231569780648,-0.0967105055505298,0.0691882652316441,0.666899527917854,1.04166759628063
"Grassland","Pathogen_control","Pathogen control","Function","Function",0.501374866003421,0.220577134556501,0.509983197375918,0.134463283764882,0.296444824830392,0.700895343987935,0.933204969054968
"Grassland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.435308382696477,0.228787702643002,0.418694424730501,0.069077265833681,0.222258550588555,0.643772213547438,0.910771761553171
"Grassland","Protist_richness","Protist Richness","Richness","Protists",-0.278287791292019,0.225287408552574,-0.288389718708731,-0.622153542134032,-0.488116782647067,-0.0642283181220216,0.192873921958713
"Grassland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",0.0529281836097207,0.247789105171259,0.0488783362335159,-0.353410226711668,-0.189139601718359,0.279406214174093,0.532172821913931
"Grassland","Soil_carbon_service","Soil carbon","Function","Function",0.269345354848204,0.310828406518516,0.188986864276363,-0.166115271012559,-0.0242056084663834,0.638514478435712,0.860750327318657
"Grassland","Soil_stability_service","Soil stability","Function","Function",-0.0331108794128126,0.240252511600471,-0.0301549279251204,-0.427807417086517,-0.252453986978589,0.197037814832793,0.417439073350208
"Woodland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",-0.100048092077458,0.299373538600627,-0.0898027771673,-0.602266999205023,-0.37360094392802,0.176528626217121,0.512575929361538
"Woodland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",0.0901938285683867,0.29132345998724,0.0865768630732783,-0.357271495211873,-0.186785290025256,0.375283037353445,0.659464901089765
"Woodland","Bac_richness","Bacterial Richness","Richness","Bacteria",-0.156838866968603,0.288607295371928,-0.150846021528097,-0.644129324970754,-0.437642847627497,0.125832429861048,0.392162046537289
"Woodland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-0.138885918507882,0.290752503844808,-0.13760417723638,-0.637031739166048,-0.422602301790962,0.133812865455273,0.439490653782007
"Woodland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.0555079259753355,0.316937772505565,0.030655755736934,-0.421307779328104,-0.255674873901396,0.363886710078057,0.70494236329812
"Woodland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",-0.00186871433508635,0.320066045667662,-0.0189279239788462,-0.482800662117882,-0.310002390857556,0.301005957116963,0.676315796931127
"Woodland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-0.118696943994594,0.285537234181018,-0.104552052105221,-0.623769389610193,-0.391107567775181,0.135394914992134,0.429285037621997
"Woodland","Fungi_richness","Fungal Richness","Richness","Fungi",0.0976605423598473,0.300452205928251,0.0987334754622173,-0.409918030084017,-0.180954182291069,0.372558007908043,0.672154003100109
"Woodland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.229365697350497,0.29999427484588,-0.238862041931193,-0.712199829920681,-0.513437996040915,0.068671586847444,0.381064346799249
"Woodland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",0.300804127276376,0.322690201656435,0.295380599736483,-0.22517807559105,0.000705795439651511,0.616931187006333,0.948362652268328
"Woodland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",0.282308602375945,0.264473289498391,0.297503451058138,-0.174349947056072,0.0302968238105739,0.526839459455481,0.768465103980175
"Woodland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",0.295404766502255,0.263583703371003,0.307840522618878,-0.160050902524515,0.0518987899633288,0.534499556969588,0.79550046017264
"Woodland","Nematode_richness","Nematode Richness","Richness","Nematodes",-0.502660383686603,0.313832234009381,-0.495678141126,-1.02778411630346,-0.805910305518812,-0.216441916664074,0.0840738692944269
"Woodland","Nutrient_service","Nutrient cycling","Function","Function",-0.0151051246616516,0.299346531164328,-0.0239899330298926,-0.497655429133669,-0.30137628971477,0.272007941079772,0.586530554380513
"Woodland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.265137171915224,0.291956971662643,-0.256629208151757,-0.78262774502878,-0.543335839514095,0.00586169588362983,0.26543647578588
"Woodland","Pathogen_control","Pathogen control","Function","Function",0.138826228821462,0.296928513651231,0.129106347893457,-0.338061631661662,-0.142501671131097,0.407235468637851,0.765809949480166
"Woodland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",-0.12124104683709,0.294175073351457,-0.112670949554756,-0.638173098400209,-0.38323862680185,0.149840277526255,0.439074093612049
"Woodland","Protist_richness","Protist Richness","Richness","Protists",-0.260177675603796,0.295143516376605,-0.261956002825183,-0.736334250833933,-0.540098362599329,0.0159713109731756,0.32643628479597
"Woodland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",0.0778690482320383,0.309026313327583,0.0771362882250554,-0.416242629566504,-0.218481379768318,0.37418240078839,0.651340557361865
"Woodland","Soil_carbon_service","Soil carbon","Function","Function",0.1164871892309,0.280719382948481,0.122193250434362,-0.377450692342982,-0.152801351039133,0.402147382592277,0.634676838446091
"Woodland","Soil_stability_service","Soil stability","Function","Function",-0.225401892593025,0.271700274146417,-0.233004454063754,-0.64799911887511,-0.475190063338099,0.0326667478292385,0.31992434720464
NA,"Water_regulation_service","Water regulation","Function","Function",NA,NA,NA,NA,NA,NA,NA
